question,context,answers
Bagaimana dampak perjuangan Sultan Hasanuddin terhadap masyarakat Makassar?,Sultan Hasanuddin dikenal sebagai pahlawan dan simbol perlawanan rakyat Makassar terhadap penjajahan Belanda. Keberaniannya dalam melawan VOC meski menghadapi kekuatan besar menjadikannya tokoh yang dihormati dan dikenang oleh masyarakat Makassar hingga kini.,"Perjuangan Sultan Hasanuddin memberikan inspirasi besar bagi masyarakat Makassar, menjadikannya simbol keberanian dan keteguhan melawan penjajah. Semangat perlawanan yang ditunjukkan Sultan Hasanuddin meningkatkan rasa kebanggaan dan persatuan di kalangan rakyat, dan hingga kini, beliau dihormati sebagai pahlawan nasional yang memperjuangkan kedaulatan dan martabat Makassar."
Siapa nama lengkap Syekh Yusuf ?,"Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani (3 Juli 1626 - 23 Mei 1699) adalah salah seorang pahlawan nasional Indonesia. Ia juga digelari Tuanta Salamaka ri Gowa (""tuan guru penyelamat kita dari Gowa"") oleh pendukungnya di kalangan rakyat Sulawesi Selatan. ",Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani
Cerita singkat biografi Syekh Yusuf?,"Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani (3 Juli 1626 - 23 Mei 1699) adalah salah seorang pahlawan nasional Indonesia. Ia juga digelari Tuanta Salamaka ri Gowa (""tuan guru penyelamat kita dari Gowa"") oleh pendukungnya di kalangan rakyat Sulawesi Selatan. 

Masa muda dan Pendidikan
Syekh Yusuf lahir dari pasangan Abdullah dengan Aminah. Ketika lahir ia dinamakan Abadin Tadia Tjoessoep atau Muhammad Yusuf, suatu nama yang diberikan oleh Sultan Alauddin (berkuasa sejak 1593 - wafat 15 Juni 1639, penguasa Gowa pertama yang muslim), raja Gowa, yang juga adalah kerabat ibu Syekh Yusuf.

Syekh Yusuf belajar ke Pesantren Cikoang pada Syekh Sayyid Jalaluddin Bafagih (keturunan Imam Muhammad Maula Aidid),

Kembali dari Cikoang, Syekh Yusuf menikah dengan putri Sultan Gowa, lalu pada usia 18 tahun, Syekh Yusuf pergi ke Banten. Di Banten ia bersahabat dengan Pangeran Surya (Sultan Ageng Tirtayasa), yang kelak menjadikannya mufti Kesultanan Banten.

Pada tahun 1644, Syech Yusuf menunaikan ibadah haji dan tinggal di Mekkah untuk beberapa lama, dimana Ia belajar kepada ulama terkemuka di Mekkah dan Madina Syekh Yusuf juga sempat mencari ilmu ke Yaman, berguru pada Syekh Abdullah Muhammad bin Abd Al-Baqi, dan ke Damaskus untuk berguru pada Syekh Abu Al-Barakat Ayyub bin Ahmad bin Ayyub Al-Khalwati Al-Quraisyi. Syech Yusuf mempelajari Islam sekitar 20 tahun di Timur Tengah.

Masa perjuangan
Ketika Kesultanan Gowa mengalami kalah perang terhadap Belanda, Syekh Yusuf pindah ke Banten dan diangkat menjadi mufti di sana. Pada periode ini Kesultanan Banten menjadi pusat pendidikan agama Islam, dan Syekh Yusuf memiliki murid dari berbagai daerah, termasuk 400 orang asal Makassar yang dipimpin oleh Ali Karaeng Bisai.

Ketika pasukan Sultan Ageng dikalahkan Belanda tahun 1682, Syekh Yusuf ditangkap dan diasingkan ke Srilanka pada bulan September 1684.

Masa pembuangan
Sri Lanka : Di Sri Lanka, Syekh Yusuf aktif dalam menyebarkan agama Islam. Ia memiliki murid ratusan, yang umumnya berasal dari India Selatan.[butuh rujukan] Salah satu ulama besar India, Syekh Ibrahim ibn Mi'an, termasuk mereka yang berguru pada Syekh Yusuf.

Melalui jamaah haji yang singgah ke Sri Lanka, Syekh Yusuf masih dapat berkomunikasi dengan para pengikutnya di Nusantara, sehingga akhirnya oleh Belanda, ia diasingkan ke lokasi lain yang lebih jauh dari Ceylon Sri Lanka ke , Afrika Selatan, pada 22 Desember 1694.
Afrika Selatan : Di Afrika Selatan, Syekh Yusuf tetap berdakwah, dan memiliki banyak pengikut. Ketika ia wafat pada tanggal 23 Mei 1699, pengikutnya menjadikan hari wafatnya sebagai hari peringatan. Bahkan, Nelson Mandela, mantan presiden Afrika Selatan, menyebutnya sebagai 'Salah Seorang Putra Afrika Terbaik'.

Makam & Gelar Pahlawan Nasional
Jenazah Syekh Yusuf Tajul Khalwati dibawa ke Gowa atas permintaan Sultan Abdul Jalil (1677-1709) dan dimakamkan kembali di Lakiung, pada April 1705. Kemudian Syekh Yusuf Allahu yarham dianugerahi gelar Pahlawan Nasional oleh Presiden Soeharto dengan SK Presiden : Keppres No. 071/TK/1995, Tgl. 7 Agustus 1995.[9] Pada tahun 2005, Syekh Yusuf dianugerahi penghargaan Supreme Companion of OR Tambo in gold, for heads of state and, in special cases, heads of government (SCOT) pada 27 September 2005 kepada ahli warisnya yang disaksikan oleh Wapres RI. M. Yusuf Kalla di Pretoria Afrika Selatan.","Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani (3 Juli 1626 - 23 Mei 1699) adalah salah seorang pahlawan nasional Indonesia. Ia juga digelari Tuanta Salamaka ri Gowa (""tuan guru penyelamat kita dari Gowa"") oleh pendukungnya di kalangan rakyat Sulawesi Selatan. 

Masa muda dan Pendidikan
Syekh Yusuf lahir dari pasangan Abdullah dengan Aminah. Ketika lahir ia dinamakan Abadin Tadia Tjoessoep atau Muhammad Yusuf, suatu nama yang diberikan oleh Sultan Alauddin (berkuasa sejak 1593 - wafat 15 Juni 1639, penguasa Gowa pertama yang muslim), raja Gowa, yang juga adalah kerabat ibu Syekh Yusuf.

Syekh Yusuf belajar ke Pesantren Cikoang pada Syekh Sayyid Jalaluddin Bafagih (keturunan Imam Muhammad Maula Aidid),

Kembali dari Cikoang, Syekh Yusuf menikah dengan putri Sultan Gowa, lalu pada usia 18 tahun, Syekh Yusuf pergi ke Banten. Di Banten ia bersahabat dengan Pangeran Surya (Sultan Ageng Tirtayasa), yang kelak menjadikannya mufti Kesultanan Banten.

Pada tahun 1644, Syech Yusuf menunaikan ibadah haji dan tinggal di Mekkah untuk beberapa lama, dimana Ia belajar kepada ulama terkemuka di Mekkah dan Madina Syekh Yusuf juga sempat mencari ilmu ke Yaman, berguru pada Syekh Abdullah Muhammad bin Abd Al-Baqi, dan ke Damaskus untuk berguru pada Syekh Abu Al-Barakat Ayyub bin Ahmad bin Ayyub Al-Khalwati Al-Quraisyi. Syech Yusuf mempelajari Islam sekitar 20 tahun di Timur Tengah.

Masa perjuangan
Ketika Kesultanan Gowa mengalami kalah perang terhadap Belanda, Syekh Yusuf pindah ke Banten dan diangkat menjadi mufti di sana. Pada periode ini Kesultanan Banten menjadi pusat pendidikan agama Islam, dan Syekh Yusuf memiliki murid dari berbagai daerah, termasuk 400 orang asal Makassar yang dipimpin oleh Ali Karaeng Bisai.

Ketika pasukan Sultan Ageng dikalahkan Belanda tahun 1682, Syekh Yusuf ditangkap dan diasingkan ke Srilanka pada bulan September 1684.

Masa pembuangan
Sri Lanka : Di Sri Lanka, Syekh Yusuf aktif dalam menyebarkan agama Islam. Ia memiliki murid ratusan, yang umumnya berasal dari India Selatan.[butuh rujukan] Salah satu ulama besar India, Syekh Ibrahim ibn Mi'an, termasuk mereka yang berguru pada Syekh Yusuf.

Melalui jamaah haji yang singgah ke Sri Lanka, Syekh Yusuf masih dapat berkomunikasi dengan para pengikutnya di Nusantara, sehingga akhirnya oleh Belanda, ia diasingkan ke lokasi lain yang lebih jauh dari Ceylon Sri Lanka ke , Afrika Selatan, pada 22 Desember 1694.
Afrika Selatan : Di Afrika Selatan, Syekh Yusuf tetap berdakwah, dan memiliki banyak pengikut. Ketika ia wafat pada tanggal 23 Mei 1699, pengikutnya menjadikan hari wafatnya sebagai hari peringatan. Bahkan, Nelson Mandela, mantan presiden Afrika Selatan, menyebutnya sebagai 'Salah Seorang Putra Afrika Terbaik'.

Makam & Gelar Pahlawan Nasional
Jenazah Syekh Yusuf Tajul Khalwati dibawa ke Gowa atas permintaan Sultan Abdul Jalil (1677-1709) dan dimakamkan kembali di Lakiung, pada April 1705. Kemudian Syekh Yusuf Allahu yarham dianugerahi gelar Pahlawan Nasional oleh Presiden Soeharto dengan SK Presiden : Keppres No. 071/TK/1995, Tgl. 7 Agustus 1995.[9] Pada tahun 2005, Syekh Yusuf dianugerahi penghargaan Supreme Companion of OR Tambo in gold, for heads of state and, in special cases, heads of government (SCOT) pada 27 September 2005 kepada ahli warisnya yang disaksikan oleh Wapres RI. M. Yusuf Kalla di Pretoria Afrika Selatan."
Apa kontribusi Syekh Yusuf?,"Menyebarkan ajaran Islam dan memimpin perlawanan spiritual dan fisik melawan penjajahan Belanda di Sulawesi, Banten, dan Cape Town.","Menyebarkan ajaran Islam dan memimpin perlawanan spiritual dan fisik melawan penjajahan Belanda di Sulawesi, Banten, dan Cape Town."
Apa perjuangan utama Syekh Yusuf?,"Memimpin perlawanan melawan Belanda, baik di Sulawesi maupun di Banten, sebelum akhirnya diasingkan ke Cape Town, Afrika Selatan.","Memimpin perlawanan melawan Belanda, baik di Sulawesi maupun di Banten, sebelum akhirnya diasingkan ke Cape Town, Afrika Selatan."
Apa peristiwa penting dalam kehidupan Syekh Yusuf?,Pada tahun 1684: Diasingkan oleh Belanda ke Cape Town karena dianggap sebagai ancaman.,Pada tahun 1684: Diasingkan oleh Belanda ke Cape Town karena dianggap sebagai ancaman.
Kapan Syekh Yusuf lahir?,"Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani (3 Juli 1626 - 23 Mei 1699) adalah salah seorang pahlawan nasional Indonesia. Ia juga digelari Tuanta Salamaka ri Gowa (""tuan guru penyelamat kita dari Gowa"") oleh pendukungnya di kalangan rakyat Sulawesi Selatan. 

Masa muda dan Pendidikan
Syekh Yusuf lahir dari pasangan Abdullah dengan Aminah. Ketika lahir ia dinamakan Abadin Tadia Tjoessoep atau Muhammad Yusuf, suatu nama yang diberikan oleh Sultan Alauddin (berkuasa sejak 1593 - wafat 15 Juni 1639, penguasa Gowa pertama yang muslim), raja Gowa, yang juga adalah kerabat ibu Syekh Yusuf.

Syekh Yusuf belajar ke Pesantren Cikoang pada Syekh Sayyid Jalaluddin Bafagih (keturunan Imam Muhammad Maula Aidid),

Kembali dari Cikoang, Syekh Yusuf menikah dengan putri Sultan Gowa, lalu pada usia 18 tahun, Syekh Yusuf pergi ke Banten. Di Banten ia bersahabat dengan Pangeran Surya (Sultan Ageng Tirtayasa), yang kelak menjadikannya mufti Kesultanan Banten.

Pada tahun 1644, Syech Yusuf menunaikan ibadah haji dan tinggal di Mekkah untuk beberapa lama, dimana Ia belajar kepada ulama terkemuka di Mekkah dan Madina Syekh Yusuf juga sempat mencari ilmu ke Yaman, berguru pada Syekh Abdullah Muhammad bin Abd Al-Baqi, dan ke Damaskus untuk berguru pada Syekh Abu Al-Barakat Ayyub bin Ahmad bin Ayyub Al-Khalwati Al-Quraisyi. Syech Yusuf mempelajari Islam sekitar 20 tahun di Timur Tengah.

Masa perjuangan
Ketika Kesultanan Gowa mengalami kalah perang terhadap Belanda, Syekh Yusuf pindah ke Banten dan diangkat menjadi mufti di sana. Pada periode ini Kesultanan Banten menjadi pusat pendidikan agama Islam, dan Syekh Yusuf memiliki murid dari berbagai daerah, termasuk 400 orang asal Makassar yang dipimpin oleh Ali Karaeng Bisai.

Ketika pasukan Sultan Ageng dikalahkan Belanda tahun 1682, Syekh Yusuf ditangkap dan diasingkan ke Srilanka pada bulan September 1684.

Masa pembuangan
Sri Lanka : Di Sri Lanka, Syekh Yusuf aktif dalam menyebarkan agama Islam. Ia memiliki murid ratusan, yang umumnya berasal dari India Selatan.[butuh rujukan] Salah satu ulama besar India, Syekh Ibrahim ibn Mi'an, termasuk mereka yang berguru pada Syekh Yusuf.

Melalui jamaah haji yang singgah ke Sri Lanka, Syekh Yusuf masih dapat berkomunikasi dengan para pengikutnya di Nusantara, sehingga akhirnya oleh Belanda, ia diasingkan ke lokasi lain yang lebih jauh dari Ceylon Sri Lanka ke , Afrika Selatan, pada 22 Desember 1694.
Afrika Selatan : Di Afrika Selatan, Syekh Yusuf tetap berdakwah, dan memiliki banyak pengikut. Ketika ia wafat pada tanggal 23 Mei 1699, pengikutnya menjadikan hari wafatnya sebagai hari peringatan. Bahkan, Nelson Mandela, mantan presiden Afrika Selatan, menyebutnya sebagai 'Salah Seorang Putra Afrika Terbaik'.

Makam & Gelar Pahlawan Nasional
Jenazah Syekh Yusuf Tajul Khalwati dibawa ke Gowa atas permintaan Sultan Abdul Jalil (1677-1709) dan dimakamkan kembali di Lakiung, pada April 1705. Kemudian Syekh Yusuf Allahu yarham dianugerahi gelar Pahlawan Nasional oleh Presiden Soeharto dengan SK Presiden : Keppres No. 071/TK/1995, Tgl. 7 Agustus 1995.[9] Pada tahun 2005, Syekh Yusuf dianugerahi penghargaan Supreme Companion of OR Tambo in gold, for heads of state and, in special cases, heads of government (SCOT) pada 27 September 2005 kepada ahli warisnya yang disaksikan oleh Wapres RI. M. Yusuf Kalla di Pretoria Afrika Selatan.","Syekh Yusuf lahir pada 3 Juli 1626 di Gowa, Sulawesi Selatan, dari keluarga bangsawan kerajaan setempat."
Sumber informasi tentang Syekh Yusuf?,https://id.wikipedia.org/wiki/Yusuf_Al-Makassari,https://id.wikipedia.org/wiki/Yusuf_Al-Makassari
Siapa itu Syekh Yusuf dan apa perannya dalam sejarah Nusantara?,"Syekh Yusuf adalah seorang ulama besar dan pejuang dari Sulawesi Selatan yang memiliki pengaruh luas dalam penyebaran agama Islam di Indonesia, khususnya di Sulawesi dan Jawa.","Syekh Yusuf adalah seorang ulama dan pahlawan nasional dari Gowa, Sulawesi Selatan. Beliau dikenal sebagai tokoh yang menyebarkan ajaran Islam sekaligus berjuang melawan penjajah Belanda."
Apa kontribusi Syekh Yusuf dalam penyebaran ajaran Islam?,"Selain sebagai pejuang, Syekh Yusuf dikenal karena ajaran dan kontribusinya dalam penyebaran agama Islam di Nusantara, serta sebagai tokoh penting dalam tarekat Khalwatiyah.","Syekh Yusuf adalah guru spiritual yang menyebarkan tarekat Khalwatiyah, dan melalui ajarannya, beliau membimbing banyak pengikut serta meningkatkan pemahaman keagamaan masyarakat setempat."
Mengapa Syekh Yusuf dianggap sebagai pahlawan nasional Indonesia?,"Syekh Yusuf bukan hanya seorang ulama, tetapi juga seorang pejuang yang menentang kekuasaan kolonial Belanda, sehingga jasanya dihormati sebagai tokoh nasional.","Syekh Yusuf bukan hanya seorang ulama, tetapi juga seorang pejuang yang menentang kekuasaan kolonial Belanda, sehingga jasanya dihormati sebagai tokoh nasional."
Apa peran Syekh Yusuf dalam perjuangan melawan Belanda?,"Syekh Yusuf terlibat dalam perlawanan terhadap penjajah di masa kolonial Belanda, hingga akhirnya ditangkap dan diasingkan ke berbagai tempat oleh Belanda.","Syekh Yusuf memimpin beberapa perlawanan melawan kekuasaan Belanda, dan karena itu, dia diasingkan ke Sri Lanka dan Afrika Selatan untuk mencegah pengaruhnya terhadap masyarakat Indonesia."
Bagaimana kisah pengasingan Syekh Yusuf oleh pemerintah Belanda?,"Akibat pengaruhnya yang kuat dan keterlibatannya dalam perlawanan, Syekh Yusuf diasingkan ke berbagai tempat oleh Belanda agar pengaruhnya tidak menyebar di Nusantara.","Syekh Yusuf diasingkan pertama kali ke Sri Lanka dan kemudian ke Afrika Selatan oleh Belanda, namun pengaruhnya tetap bertahan di Indonesia karena ajaran dan dedikasinya untuk agama."
"Apa saja pengaruh Syekh Yusuf di luar Indonesia, khususnya di Afrika Selatan?","Syekh Yusuf diasingkan oleh Belanda ke Afrika Selatan, dan di sana, beliau juga memiliki pengaruh besar dalam komunitas Muslim lokal.","Di Afrika Selatan, Syekh Yusuf dikenal sebagai pelopor Islam di Cape Town. Beliau mendirikan komunitas Muslim pertama di sana dan memiliki pengaruh besar dalam perkembangan Islam di wilayah tersebut."
Bagaimana pandangan masyarakat Gowa terhadap Syekh Yusuf?,"Syekh Yusuf adalah tokoh asal Gowa, Sulawesi Selatan, dan masyarakat lokal sangat menghormatinya karena peran spiritual dan perjuangannya melawan penjajah.","Masyarakat Gowa sangat menghormati Syekh Yusuf sebagai tokoh spiritual dan pahlawan, memandangnya sebagai sosok teladan dalam keagamaan dan perjuangan kemerdekaan."
Apa itu Tarekat Khalwatiyah yang diajarkan oleh Syekh Yusuf?,"Syekh Yusuf adalah pengajar tarekat Khalwatiyah, yang merupakan salah satu aliran spiritual Islam yang ia sebarkan di Nusantara.",Tarekat Khalwatiyah adalah ajaran tasawuf yang diajarkan oleh Syekh Yusuf untuk membimbing umat Islam menuju kehidupan spiritual yang lebih dalam melalui zikir dan doa.
Apa dampak pengasingan Syekh Yusuf terhadap komunitas Muslim di Nusantara?,"Setelah Syekh Yusuf diasingkan, pengaruhnya tetap kuat di kalangan masyarakat Nusantara yang tetap mempraktikkan ajaran dan tarekatnya.","Pengasingan Syekh Yusuf tidak mengurangi pengaruhnya; ajarannya tetap dilestarikan oleh pengikutnya di Nusantara, dan semakin banyak komunitas yang meneruskan tarekat Khalwatiyah yang beliau ajarkan."
Bagaimana Syekh Yusuf membangun komunitas Muslim selama masa pengasingannya?,"Selama masa pengasingannya di Afrika Selatan, Syekh Yusuf terus aktif dalam dakwah Islam dan mendirikan komunitas Muslim.","Selama di Afrika Selatan, Syekh Yusuf membangun komunitas Muslim pertama di Cape Town dengan mengajarkan Islam kepada para pengikutnya dan mendirikan pusat-pusat kegiatan ibadah."
Bagaimana peran spiritual Syekh Yusuf memengaruhi perjuangan rakyat Indonesia?,Syekh Yusuf tidak hanya pejuang fisik tetapi juga membawa semangat spiritual yang menguatkan perjuangan melawan penjajah.,"Peran spiritual Syekh Yusuf memberikan inspirasi bagi rakyat Indonesia untuk terus berjuang dengan semangat religius, memperkuat tekad mereka dalam perlawanan terhadap penjajahan."
Mengapa Syekh Yusuf dianggap sebagai tokoh internasional dalam sejarah Islam?,"Pengaruh Syekh Yusuf tidak hanya di Indonesia tetapi juga di Asia dan Afrika, membuatnya dikenang sebagai tokoh besar dalam sejarah Islam.","Syekh Yusuf dianggap tokoh internasional karena penyebaran Islam yang dilakukannya mencakup Nusantara hingga Afrika Selatan, sehingga pengaruhnya dikenang lintas benua."
Apa saja nilai-nilai utama dalam ajaran Syekh Yusuf?,Syekh Yusuf mengajarkan nilai-nilai moral dan spiritual melalui tarekatnya yang berdampak pada kehidupan sosial para pengikutnya.,"Ajaran Syekh Yusuf menekankan nilai-nilai ketakwaan, kesederhanaan, dan keikhlasan, serta mengutamakan kebersamaan dan kedamaian dalam bermasyarakat."
Bagaimana Sultan Hasanuddin mempengaruhi hubungan antara Kerajaan Gowa dan kerajaan lainnya di Nusantara?,Sultan Hasanuddin memiliki peran penting dalam menjalin hubungan diplomatik dengan kerajaan-kerajaan lain untuk memperkuat kedudukan Gowa.,"Sultan Hasanuddin menjalin aliansi dengan kerajaan-kerajaan lain untuk memperkuat perlawanan terhadap penjajah Belanda, memperkuat posisi Gowa sebagai pusat kekuatan di Indonesia timur."
Bagaimana strategi Sultan Hasanuddin dalam mempertahankan wilayah Gowa dari serangan Belanda?,"Sebagai pemimpin militer, Sultan Hasanuddin menggunakan strategi pertahanan yang kuat dan diplomasi untuk melawan VOC.",Sultan Hasanuddin menggunakan strategi gerilya dan memperkuat benteng-benteng di sekitar wilayah Gowa untuk mempertahankan wilayahnya dari serangan Belanda.
Apa dampak kepemimpinan Sultan Hasanuddin bagi masyarakat Gowa pada masanya?,Sultan Hasanuddin dihormati sebagai pemimpin yang memperjuangkan kemerdekaan dan kesejahteraan masyarakat Gowa.,Kepemimpinannya memberikan semangat nasionalisme bagi rakyat Gowa dan meningkatkan semangat mereka untuk melawan penjajahan.
"Apa makna simbolik dari julukan ""Ayam Jantan dari Timur"" yang diberikan kepada Sultan Hasanuddin?",Julukan ini mencerminkan keberanian dan keteguhan Sultan Hasanuddin dalam mempertahankan tanah air dari penjajah.,"Julukan ini melambangkan keberanian Sultan Hasanuddin yang tidak gentar menghadapi kekuatan asing, membuatnya dikenang sebagai sosok pahlawan yang berani dan tegas."
Bagaimana akhir dari perjuangan Sultan Hasanuddin dalam melawan VOC?,"Setelah pertempuran panjang, Sultan Hasanuddin akhirnya terpaksa menandatangani Perjanjian Bungaya yang mengakhiri perlawanan Kerajaan Gowa.","Sultan Hasanuddin terpaksa menyerah melalui Perjanjian Bungaya setelah VOC berhasil mendesak Kerajaan Gowa. Perjanjian ini menandai akhir dari perlawanan Gowa terhadap Belanda, meskipun pengaruhnya tetap dikenang."
Bagaimana pengaruh Sultan Hasanuddin terhadap semangat perlawanan rakyat Makassar?,Keberanian dan perlawanan Sultan Hasanuddin terhadap penjajahan Belanda menjadi inspirasi bagi rakyat Makassar hingga generasi berikutnya.,"Keberaniannya menginspirasi semangat perlawanan rakyat Makassar, menjadikan Sultan Hasanuddin sebagai simbol perjuangan dan ketangguhan dalam melawan penindasan."
