question,context,answers
Siapa orang tua Syekh Yusuf?,Syekh Yusuf lahir dari keluarga kerajaan di Gowa. Orang tuanya memiliki pengaruh besar dalam mendidik dan membentuk karakter spiritualnya.,"Ayahnya bernama Abdullah, yang berasal dari keturunan bangsawan Gowa, dan ibunya bernama Aminah, yang juga memiliki garis keturunan bangsawan Bugis."
Bagaimana masa kecil Syekh Yusuf?,"Sejak kecil, Syekh Yusuf dididik dalam lingkungan yang mendukung pembelajaran agama Islam dan kebangsawanan, yang membentuk karakternya sebagai pemimpin spiritual.","Pada masa kecilnya, Syekh Yusuf menunjukkan minat yang kuat dalam ilmu agama. Ia banyak belajar dari ulama di daerahnya dan mendapat pendidikan keagamaan yang ketat."
Bagaimana pendidikan awal Syekh Yusuf?,"Syekh Yusuf menghabiskan masa mudanya untuk belajar agama Islam, dimulai dari Sulawesi hingga melanjutkan studinya ke berbagai daerah lain.","Syekh Yusuf memulai pendidikannya di Sulawesi dengan belajar Al-Quran dan hukum Islam. Kemudian, ia melanjutkan pendidikannya ke Jawa, Aceh, dan bahkan sampai ke Makkah untuk memperdalam ilmu agama."
Kapan dan mengapa Syekh Yusuf pergi ke luar negeri untuk belajar?,"Pada usia muda, Syekh Yusuf meninggalkan Gowa untuk mendalami ilmu agama di luar negeri, termasuk di tanah suci Makkah.","Syekh Yusuf berangkat ke Makkah pada usia muda untuk memperdalam ilmu Islam, dan selama perjalanan ini, ia belajar dari berbagai ulama terkenal di Timur Tengah."
Apa yang mendorong Syekh Yusuf mendalami ilmu tasawuf?,"Syekh Yusuf memiliki ketertarikan pada tasawuf sejak muda, terutama karena ia melihatnya sebagai jalan untuk mendekatkan diri pada Tuhan.","Ketertarikan pada tasawuf muncul sejak Syekh Yusuf belajar di Makkah. Melalui bimbingan gurunya, ia menemukan bahwa tasawuf memberikan kedalaman spiritual yang ia cari."
Kenapa Sultan Hasanuddin dijuluki Ayam Jantan dari Timur?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang terkenal karena keberaniannya dalam melawan VOC.,"Karena keberanian Sultan Hasanuddin dalam melawan penjajahan Belanda, ia dijuluki Ayam Jantan dari Timur."
Apa peristiwa penting dalam pemerintahan Sultan Hasanuddin?,Salah satu peristiwa penting dalam pemerintahan Sultan Hasanuddin adalah Perang Makassar melawan VOC.,"Perang Makassar, yang berlangsung dari tahun 1666 hingga 1669, adalah salah satu peristiwa penting dalam masa pemerintahannya."
Apa dampak dari Perjanjian Bungaya bagi Kerajaan Gowa?,"Perjanjian Bungaya mengakhiri perlawanan Kerajaan Gowa terhadap VOC, yang berdampak pada kekuasaan perdagangan Gowa.",Perjanjian Bungaya melemahkan Kerajaan Gowa karena VOC menguasai pelabuhan Makassar dan membatasi perdagangan Gowa.
Bagaimana Sultan Hasanuddin menjadi Sultan Gowa?,"Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa yang baru.","Setelah kematian ayahnya, Sultan Hasanuddin diangkat menjadi Sultan Gowa dan mulai memimpin perlawanan terhadap VOC."
Bagaimana dampak perjuangan Sultan Hasanuddin terhadap masyarakat Makassar?,Sultan Hasanuddin dikenal sebagai pahlawan dan simbol perlawanan masyarakat Makassar terhadap penjajahan VOC.,Perjuangan Sultan Hasanuddin menginspirasi masyarakat Makassar untuk bersatu dalam mempertahankan wilayah mereka dari penjajahan.
Apa kontribusi utama Syekh Yusuf dalam penyebaran Islam?,"Syekh Yusuf adalah seorang ulama besar dan pejuang yang berpengaruh dalam penyebaran Islam di Indonesia, terutama di Sulawesi dan Jawa.","Syekh Yusuf menyebarkan ajaran tarekat Khalwatiyah, yang meningkatkan pemahaman Islam di kalangan masyarakat Indonesia."
Mengapa Syekh Yusuf diasingkan oleh Belanda ke Afrika Selatan?,"Akibat pengaruh dan perjuangannya melawan penjajah, Syekh Yusuf diasingkan oleh Belanda ke Sri Lanka dan kemudian ke Afrika Selatan.",Syekh Yusuf diasingkan ke Afrika Selatan karena Belanda khawatir pengaruhnya akan terus menyebar di Nusantara.
Bagaimana pengaruh Syekh Yusuf terhadap komunitas Muslim di Afrika Selatan?,"Di Afrika Selatan, Syekh Yusuf dihormati sebagai tokoh yang mendirikan komunitas Muslim pertama di sana.","Syekh Yusuf mendirikan komunitas Muslim pertama di Cape Town, yang menjadi awal perkembangan Islam di Afrika Selatan."
Siapa itu Syekh Yusuf dan apa perannya dalam sejarah Nusantara?,Syekh Yusuf adalah ulama dan pahlawan nasional yang berjuang melawan penjajahan Belanda dan menyebarkan Islam di Nusantara.,Syekh Yusuf adalah pahlawan nasional Indonesia yang berperan dalam menyebarkan ajaran Islam dan melawan kolonialisme Belanda.
Kapan Syekh Yusuf mulai terlibat dalam perjuangan melawan penjajah?,Syekh Yusuf mulai terlibat dalam perlawanan ketika melihat penderitaan rakyat akibat penjajahan.,Syekh Yusuf terlibat dalam perlawanan melawan penjajah setelah kembali ke Nusantara dari Timur Tengah.
Apa alasan di balik julukan 'Ayam Jantan dari Timur' bagi Sultan Hasanuddin?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang dikenal sebagai pahlawan nasional Indonesia. Ia berjuang melawan penjajahan Belanda dan mendapat julukan 'Ayam Jantan dari Timur' karena keberaniannya.,Karena keberanian Sultan Hasanuddin dalam melawan penjajah belanda
Mengapa Belanda menjuluki Sultan Hasanuddin sebagai Ayam Jantan dari Timur?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang dikenal sebagai pahlawan nasional Indonesia. Ia berjuang melawan penjajahan Belanda dan mendapat julukan 'Ayam Jantan dari Timur' karena keberaniannya.,Karena keberanian Sultan Hasanuddin dalam melawan penjajah belanda
Julukan 'Ayam Jantan dari Timur' untuk Sultan Hasanuddin itu kenapa?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang dikenal sebagai pahlawan nasional Indonesia. Ia berjuang melawan penjajahan Belanda dan mendapat julukan 'Ayam Jantan dari Timur' karena keberaniannya.,Karena keberanian Sultan Hasanuddin dalam melawan penjajah belanda
Julukan apa yang diberikan kepada Sultan Hasanuddin?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang dikenal sebagai pahlawan nasional Indonesia. Ia berjuang melawan penjajahan Belanda dan mendapat julukan 'Ayam Jantan dari Timur' karena keberaniannya.,Sultan Hasanuddin mendapat julukan Ayam Jantan dari Timur
Bagaimana julukan yang diberikan kepada Sultan Hasanuddin?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang dikenal sebagai pahlawan nasional Indonesia. Ia berjuang melawan penjajahan Belanda dan mendapat julukan 'Ayam Jantan dari Timur' karena keberaniannya.,Sultan Hasanuddin mendapat julukan Ayam Jantan dari Timur
Apa gelar atau julukan yang disematkan pada Sultan Hasanuddin?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang dikenal sebagai pahlawan nasional Indonesia. Ia berjuang melawan penjajahan Belanda dan mendapat julukan 'Ayam Jantan dari Timur' karena keberaniannya.,Sultan Hasanuddin mendapat julukan Ayam Jantan dari Timur
Dapatkah Anda menjelaskan siapa Sultan Hasanuddin?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang memerintah di Sulawesi Selatan. Ia dikenal sebagai pahlawan nasional Indonesia yang berjuang melawan kolonialisme Belanda pada abad ke-17. Julukannya adalah 'Ayam Jantan dari Timur' karena keberaniannya dalam memimpin perlawanan melawan VOC (Vereenigde Oostindische Compagnie) yang berusaha menguasai wilayah Sulawesi Selatan.,Sultan Hasanuddin adalah Raja Gowa ke-16 yang memerintah di Sulawesi Selatan. Ia dikenal sebagai pahlawan nasional Indonesia yang berjuang melawan kolonialisme Belanda pada abad ke-17. Julukannya adalah 'Ayam Jantan dari Timur' karena keberaniannya dalam memimpin perlawanan melawan VOC (Vereenigde Oostindische Compagnie) yang berusaha menguasai wilayah Sulawesi Selatan.
Bagaimana riwayat dan siapa sebenarnya Sultan Hasanuddin?,Sultan Hasanuddin adalah Raja Gowa ke-16 yang memerintah di Sulawesi Selatan. Ia dikenal sebagai pahlawan nasional Indonesia yang berjuang melawan kolonialisme Belanda pada abad ke-17. Julukannya adalah 'Ayam Jantan dari Timur' karena keberaniannya dalam memimpin perlawanan melawan VOC (Vereenigde Oostindische Compagnie) yang berusaha menguasai wilayah Sulawesi Selatan.,Sultan Hasanuddin adalah Raja Gowa ke-16 yang memerintah di Sulawesi Selatan. Ia dikenal sebagai pahlawan nasional Indonesia yang berjuang melawan kolonialisme Belanda pada abad ke-17. Julukannya adalah 'Ayam Jantan dari Timur' karena keberaniannya dalam memimpin perlawanan melawan VOC (Vereenigde Oostindische Compagnie) yang berusaha menguasai wilayah Sulawesi Selatan.
"Siapakah Sultan Hasanuddin itu, dan apa perannya dalam sejarah?",Sultan Hasanuddin adalah Raja Gowa ke-16 yang memerintah di Sulawesi Selatan. Ia dikenal sebagai pahlawan nasional Indonesia yang berjuang melawan kolonialisme Belanda pada abad ke-17. Julukannya adalah 'Ayam Jantan dari Timur' karena keberaniannya dalam memimpin perlawanan melawan VOC (Vereenigde Oostindische Compagnie) yang berusaha menguasai wilayah Sulawesi Selatan.,Sultan Hasanuddin adalah Raja Gowa ke-16 yang memerintah di Sulawesi Selatan. Ia dikenal sebagai pahlawan nasional Indonesia yang berjuang melawan kolonialisme Belanda pada abad ke-17. Julukannya adalah 'Ayam Jantan dari Timur' karena keberaniannya dalam memimpin perlawanan melawan VOC (Vereenigde Oostindische Compagnie) yang berusaha menguasai wilayah Sulawesi Selatan.
Bagaimana proses Sultan Hasanuddin naik tahta menjadi Sultan Gowa?,"Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa pada tahun 1653. Ia meneruskan perjuangan ayahnya dalam melawan kolonialisme Belanda dan memperkuat Kesultanan Gowa sebagai pusat perlawanan di wilayah timur Indonesia.","Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa pada tahun 1653."
Apa yang membuat Sultan Hasanuddin akhirnya menjadi Sultan di Gowa?,"Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa pada tahun 1653. Ia meneruskan perjuangan ayahnya dalam melawan kolonialisme Belanda dan memperkuat Kesultanan Gowa sebagai pusat perlawanan di wilayah timur Indonesia.","Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa pada tahun 1653."
Bagaimana cerita Sultan Hasanuddin menjadi pemimpin Kerajaan Gowa?,"Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa pada tahun 1653. Ia meneruskan perjuangan ayahnya dalam melawan kolonialisme Belanda dan memperkuat Kesultanan Gowa sebagai pusat perlawanan di wilayah timur Indonesia.","Setelah kematian ayahnya, Sultan Malikussaid, Hasanuddin diangkat menjadi Sultan Gowa pada tahun 1653."
Bagaimana Perjanjian Bungaya berdampak pada Kerajaan Gowa?,"Perjanjian Bungaya mengakhiri perlawanan Kerajaan Gowa terhadap VOC, yang berdampak pada kekuasaan perdagangan Gowa.",Perjanjian Bungaya melemahkan Kerajaan Gowa karena VOC menguasai pelabuhan Makassar dan membatasi perdagangan Gowa.
Apa konsekuensi Perjanjian Bungaya untuk Kerajaan Gowa?,"Perjanjian Bungaya mengakhiri perlawanan Kerajaan Gowa terhadap VOC, yang berdampak pada kekuasaan perdagangan Gowa.","Perjanjian Bungaya menyebabkan hilangnya kekuatan militer dan pengaruh Kerajaan Gowa, dengan VOC mengambil alih wilayah perdagangan penting."
Seperti apa pengaruh Perjanjian Bungaya pada Gowa?,"Perjanjian Bungaya mengakhiri perlawanan Kerajaan Gowa terhadap VOC, yang berdampak pada kekuasaan perdagangan Gowa.","Pengaruh Perjanjian Bungaya sangat besar, VOC berhasil membatasi kekuatan ekonomi dan militer Gowa."
Apa alasan di balik terjadinya Perjanjian Bungaya?,"Perjanjian Bungaya menandai kekalahan Gowa melawan VOC, menyebabkan kerugian besar pada wilayah dan ekonomi Gowa.","Perjanjian Bungaya terjadi karena VOC ingin mengendalikan perdagangan di wilayah Makassar yang bebas, sehingga mereka menekan Gowa untuk tunduk."
Mengapa Perjanjian Bungaya bisa terjadi antara Gowa dan VOC?,"Perjanjian Bungaya menandai kekalahan Gowa melawan VOC, menyebabkan kerugian besar pada wilayah dan ekonomi Gowa.","VOC menginginkan monopoli perdagangan di Makassar, sehingga mereka mendesak Gowa untuk menandatangani Perjanjian Bungaya."
Apa pemicu yang menyebabkan Perjanjian Bungaya ditandatangani?,"Perjanjian Bungaya menandai kekalahan Gowa melawan VOC, menyebabkan kerugian besar pada wilayah dan ekonomi Gowa.",Perlawanan yang berlarut-larut dari Gowa terhadap VOC memaksa kedua pihak untuk membuat Perjanjian Bungaya demi mengakhiri konflik.
Seperti apa pengaruh perjuangan Sultan Hasanuddin pada rakyat Makassar?,Perjuangan Sultan Hasanuddin menjadi simbol keberanian bagi masyarakat Makassar dalam menghadapi VOC.,Perjuangan Sultan Hasanuddin menginspirasi masyarakat Makassar untuk bersatu dan berjuang mempertahankan kedaulatan mereka.
Apa dampak yang dirasakan masyarakat Makassar dari perjuangan Sultan Hasanuddin?,Perjuangan Sultan Hasanuddin menjadi simbol keberanian bagi masyarakat Makassar dalam menghadapi VOC.,"Masyarakat Makassar memperoleh semangat dan keberanian dari perjuangan Sultan Hasanuddin, yang membangkitkan rasa nasionalisme."
Bagaimana perjuangan Sultan Hasanuddin memengaruhi masyarakat Makassar?,Perjuangan Sultan Hasanuddin menjadi simbol keberanian bagi masyarakat Makassar dalam menghadapi VOC,"Sultan Hasanuddin menjadi simbol keberanian, menginspirasi masyarakat Makassar untuk tidak tunduk pada penjajah"
Bagaimana kehidupan masa kecil Syekh Yusuf?,"Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani (3 Juli 1626 - 23 Mei 1699) adalah salah seorang pahlawan nasional Indonesia. Ia juga digelari Tuanta Salamaka ri Gowa (""tuan guru penyelamat kita dari Gowa"") oleh pendukungnya di kalangan rakyat Sulawesi Selatan. 

Masa muda dan Pendidikan
Syekh Yusuf lahir dari pasangan Abdullah dengan Aminah. Ketika lahir ia dinamakan Abadin Tadia Tjoessoep atau Muhammad Yusuf, suatu nama yang diberikan oleh Sultan Alauddin (berkuasa sejak 1593 - wafat 15 Juni 1639, penguasa Gowa pertama yang muslim), raja Gowa, yang juga adalah kerabat ibu Syekh Yusuf.

Syekh Yusuf belajar ke Pesantren Cikoang pada Syekh Sayyid Jalaluddin Bafagih (keturunan Imam Muhammad Maula Aidid),

Kembali dari Cikoang, Syekh Yusuf menikah dengan putri Sultan Gowa, lalu pada usia 18 tahun, Syekh Yusuf pergi ke Banten. Di Banten ia bersahabat dengan Pangeran Surya (Sultan Ageng Tirtayasa), yang kelak menjadikannya mufti Kesultanan Banten.

Pada tahun 1644, Syech Yusuf menunaikan ibadah haji dan tinggal di Mekkah untuk beberapa lama, dimana Ia belajar kepada ulama terkemuka di Mekkah dan Madina Syekh Yusuf juga sempat mencari ilmu ke Yaman, berguru pada Syekh Abdullah Muhammad bin Abd Al-Baqi, dan ke Damaskus untuk berguru pada Syekh Abu Al-Barakat Ayyub bin Ahmad bin Ayyub Al-Khalwati Al-Quraisyi. Syech Yusuf mempelajari Islam sekitar 20 tahun di Timur Tengah.

Masa perjuangan
Ketika Kesultanan Gowa mengalami kalah perang terhadap Belanda, Syekh Yusuf pindah ke Banten dan diangkat menjadi mufti di sana. Pada periode ini Kesultanan Banten menjadi pusat pendidikan agama Islam, dan Syekh Yusuf memiliki murid dari berbagai daerah, termasuk 400 orang asal Makassar yang dipimpin oleh Ali Karaeng Bisai.

Ketika pasukan Sultan Ageng dikalahkan Belanda tahun 1682, Syekh Yusuf ditangkap dan diasingkan ke Srilanka pada bulan September 1684.

Masa pembuangan
Sri Lanka : Di Sri Lanka, Syekh Yusuf aktif dalam menyebarkan agama Islam. Ia memiliki murid ratusan, yang umumnya berasal dari India Selatan.[butuh rujukan] Salah satu ulama besar India, Syekh Ibrahim ibn Mi'an, termasuk mereka yang berguru pada Syekh Yusuf.

Melalui jamaah haji yang singgah ke Sri Lanka, Syekh Yusuf masih dapat berkomunikasi dengan para pengikutnya di Nusantara, sehingga akhirnya oleh Belanda, ia diasingkan ke lokasi lain yang lebih jauh dari Ceylon Sri Lanka ke , Afrika Selatan, pada 22 Desember 1694.
Afrika Selatan : Di Afrika Selatan, Syekh Yusuf tetap berdakwah, dan memiliki banyak pengikut. Ketika ia wafat pada tanggal 23 Mei 1699, pengikutnya menjadikan hari wafatnya sebagai hari peringatan. Bahkan, Nelson Mandela, mantan presiden Afrika Selatan, menyebutnya sebagai 'Salah Seorang Putra Afrika Terbaik'.

Makam & Gelar Pahlawan Nasional
Jenazah Syekh Yusuf Tajul Khalwati dibawa ke Gowa atas permintaan Sultan Abdul Jalil (1677-1709) dan dimakamkan kembali di Lakiung, pada April 1705. Kemudian Syekh Yusuf Allahu yarham dianugerahi gelar Pahlawan Nasional oleh Presiden Soeharto dengan SK Presiden : Keppres No. 071/TK/1995, Tgl. 7 Agustus 1995.[9] Pada tahun 2005, Syekh Yusuf dianugerahi penghargaan Supreme Companion of OR Tambo in gold, for heads of state and, in special cases, heads of government (SCOT) pada 27 September 2005 kepada ahli warisnya yang disaksikan oleh Wapres RI. M. Yusuf Kalla di Pretoria Afrika Selatan.","Syekh Yusuf Abul Mahasin Tajul Khalwati Al-Makasari Al-Bantani (3 Juli 1626 - 23 Mei 1699) adalah salah seorang pahlawan nasional Indonesia. Ia juga digelari Tuanta Salamaka ri Gowa (""tuan guru penyelamat kita dari Gowa"") oleh pendukungnya di kalangan rakyat Sulawesi Selatan. 

Masa muda dan Pendidikan
Syekh Yusuf lahir dari pasangan Abdullah dengan Aminah. Ketika lahir ia dinamakan Abadin Tadia Tjoessoep atau Muhammad Yusuf, suatu nama yang diberikan oleh Sultan Alauddin (berkuasa sejak 1593 - wafat 15 Juni 1639, penguasa Gowa pertama yang muslim), raja Gowa, yang juga adalah kerabat ibu Syekh Yusuf.

Syekh Yusuf belajar ke Pesantren Cikoang pada Syekh Sayyid Jalaluddin Bafagih (keturunan Imam Muhammad Maula Aidid),

Kembali dari Cikoang, Syekh Yusuf menikah dengan putri Sultan Gowa, lalu pada usia 18 tahun, Syekh Yusuf pergi ke Banten. Di Banten ia bersahabat dengan Pangeran Surya (Sultan Ageng Tirtayasa), yang kelak menjadikannya mufti Kesultanan Banten.

Pada tahun 1644, Syech Yusuf menunaikan ibadah haji dan tinggal di Mekkah untuk beberapa lama, dimana Ia belajar kepada ulama terkemuka di Mekkah dan Madina Syekh Yusuf juga sempat mencari ilmu ke Yaman, berguru pada Syekh Abdullah Muhammad bin Abd Al-Baqi, dan ke Damaskus untuk berguru pada Syekh Abu Al-Barakat Ayyub bin Ahmad bin Ayyub Al-Khalwati Al-Quraisyi. Syech Yusuf mempelajari Islam sekitar 20 tahun di Timur Tengah.

Masa perjuangan
Ketika Kesultanan Gowa mengalami kalah perang terhadap Belanda, Syekh Yusuf pindah ke Banten dan diangkat menjadi mufti di sana. Pada periode ini Kesultanan Banten menjadi pusat pendidikan agama Islam, dan Syekh Yusuf memiliki murid dari berbagai daerah, termasuk 400 orang asal Makassar yang dipimpin oleh Ali Karaeng Bisai.

Ketika pasukan Sultan Ageng dikalahkan Belanda tahun 1682, Syekh Yusuf ditangkap dan diasingkan ke Srilanka pada bulan September 1684.

Masa pembuangan
Sri Lanka : Di Sri Lanka, Syekh Yusuf aktif dalam menyebarkan agama Islam. Ia memiliki murid ratusan, yang umumnya berasal dari India Selatan.[butuh rujukan] Salah satu ulama besar India, Syekh Ibrahim ibn Mi'an, termasuk mereka yang berguru pada Syekh Yusuf.

Melalui jamaah haji yang singgah ke Sri Lanka, Syekh Yusuf masih dapat berkomunikasi dengan para pengikutnya di Nusantara, sehingga akhirnya oleh Belanda, ia diasingkan ke lokasi lain yang lebih jauh dari Ceylon Sri Lanka ke , Afrika Selatan, pada 22 Desember 1694.
Afrika Selatan : Di Afrika Selatan, Syekh Yusuf tetap berdakwah, dan memiliki banyak pengikut. Ketika ia wafat pada tanggal 23 Mei 1699, pengikutnya menjadikan hari wafatnya sebagai hari peringatan. Bahkan, Nelson Mandela, mantan presiden Afrika Selatan, menyebutnya sebagai 'Salah Seorang Putra Afrika Terbaik'.

Makam & Gelar Pahlawan Nasional
Jenazah Syekh Yusuf Tajul Khalwati dibawa ke Gowa atas permintaan Sultan Abdul Jalil (1677-1709) dan dimakamkan kembali di Lakiung, pada April 1705. Kemudian Syekh Yusuf Allahu yarham dianugerahi gelar Pahlawan Nasional oleh Presiden Soeharto dengan SK Presiden : Keppres No. 071/TK/1995, Tgl. 7 Agustus 1995.[9] Pada tahun 2005, Syekh Yusuf dianugerahi penghargaan Supreme Companion of OR Tambo in gold, for heads of state and, in special cases, heads of government (SCOT) pada 27 September 2005 kepada ahli warisnya yang disaksikan oleh Wapres RI. M. Yusuf Kalla di Pretoria Afrika Selatan."
